"userid","dbid","toplevel","queryid","query","plans","total_plan_time","min_plan_time","max_plan_time","mean_plan_time","stddev_plan_time","calls","total_exec_time","min_exec_time","max_exec_time","mean_exec_time","stddev_exec_time","rows","shared_blks_hit","shared_blks_read","shared_blks_dirtied","shared_blks_written","local_blks_hit","local_blks_read","local_blks_dirtied","local_blks_written","temp_blks_read","temp_blks_written","blk_read_time","blk_write_time","temp_blk_read_time","temp_blk_write_time","wal_records","wal_fpi","wal_bytes","jit_functions","jit_generation_time","jit_inlining_count","jit_inlining_time","jit_optimization_count","jit_optimization_time","jit_emission_count","jit_emission_time"
10,16419,True,"-7384719638763031193","create view revenue0 (supplier_no, total_revenue) as select l_suppkey, sum(l_extendedprice * (1 - l_discount)) from lineitem where l_shipdate >= '1997-09-01'::date and l_shipdate < '1997-09-01'::date + interval '3' month group by l_suppkey","0","0","0","0","0","0","2","1.344318","0.448001","0.896317","0.672159","0.22415800000000005","0","150","61","43","0","0","0","0","0","0","0","0.168579","0","0","0","85","21","113612","0","0","0","0","0","0","0","0"
10,16419,True,"-1396302182840891799","SELECT
   s_suppkey,
   s_name,
   s_address,
   s_phone,
   total_revenue
FROM
   supplier,
   revenue0
WHERE
   s_suppkey = supplier_no
   AND total_revenue = (
      SELECT
         MAX(total_revenue)
      FROM
         revenue0
   )
ORDER BY
   s_suppkey","0","0","0","0","0","0","1","2193.9077079999997","2193.9077079999997","2193.9077079999997","2193.9077079999997","0","1","1","265840","0","11","0","0","0","0","104","240","365.752358","0.076741","0.140072","1.800529","0","0","0","40","1.956693","1","36.596678","1","167.80632","1","116.825773"
10,16419,True,"-3825640688184167069","SELECT * FROM pg_stat_database","0","0","0","0","0","0","1","0.15997","0.15997","0.15997","0.15997","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16419,True,"1258397410244874875","SELECT
   s_suppkey,
   s_name,
   s_address,
   s_phone,
   total_revenue
FROM
   supplier,
   revenue0
WHERE
   s_suppkey = supplier_no
   AND total_revenue = (
      SELECT
         MAX(total_revenue)
      FROM
         revenue0
   )
ORDER BY
   s_suppkey","0","0","0","0","0","0","1","2229.025414","2229.025414","2229.025414","2229.025414","0","1","1","269274","0","16","0","0","0","0","106","242","365.591728","0.165154","0.131193","3.253014","0","0","0","40","2.148587","1","37.782235","1","170.62954","1","116.991309"
10,16419,True,"-2354625808364637063","SELECT
   s_suppkey,
   s_name,
   s_address,
   s_phone,
   total_revenue
FROM
   supplier,
   revenue0
WHERE
   s_suppkey = supplier_no
   AND total_revenue = (
      SELECT
         MAX(total_revenue)
      FROM
         revenue0
   )
ORDER BY
   s_suppkey","0","0","0","0","0","0","1","2180.601824","2180.601824","2180.601824","2180.601824","0","1","1","269826","0","16","0","0","0","0","106","240","356.444069","0.115381","0.144423","1.650652","0","0","0","40","2.076924","1","33.998246","1","166.15506","1","117.773192"
10,16419,True,"-7918896027415792288","SELECT
   SUM(l_extendedprice* ($10 - l_discount)) AS revenue
FROM
   lineitem,
   part
WHERE
   (
      p_partkey = l_partkey
      AND p_brand = $1
      AND p_container IN ($11, $12, $13, $14)
      AND l_quantity >= $2
      AND l_quantity <= $3 + $15
      AND p_size BETWEEN $16 AND $17
      AND l_shipmode IN ($18, $19)
      AND l_shipinstruct = $20
   )
   OR
   (
      p_partkey = l_partkey
      AND p_brand = $4
      AND p_container IN ($21, $22, $23, $24)
      AND l_quantity >= $5
      AND l_quantity <= $6 + $25
      AND p_size BETWEEN $26 AND $27
      AND l_shipmode IN ($28, $29)
      AND l_shipinstruct = $30
   )
   OR
   (
      p_partkey = l_partkey
      AND p_brand = $7
      AND p_container IN ($31, $32, $33, $34)
      AND l_quantity >= $8
      AND l_quantity <= $9 + $35
      AND p_size BETWEEN $36 AND $37
      AND l_shipmode IN ($38, $39)
      AND l_shipinstruct = $40
   )","0","0","0","0","0","0","42","6408.938313000001","129.541382","219.629606","152.59376935714286","22.160947970299603","42","164426","1526827","0","0","0","0","0","0","0","0","3013.783553999999","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16419,True,"1345865735253463468","SELECT * FROM pg_stat_user_tables","0","0","0","0","0","0","1","0.213391","0.213391","0.213391","0.213391","0","8","13","7","0","0","0","0","0","0","0","0","0.02556","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16419,True,"5087137650805635265","SELECT
   s_suppkey,
   s_name,
   s_address,
   s_phone,
   total_revenue
FROM
   supplier,
   revenue0
WHERE
   s_suppkey = supplier_no
   AND total_revenue = (
      SELECT
         MAX(total_revenue)
      FROM
         revenue0
   )
ORDER BY
   s_suppkey","0","0","0","0","0","0","1","2193.289686","2193.289686","2193.289686","2193.289686","0","1","1","267872","0","14","0","0","0","0","108","244","364.131622","0.13064","0.222872","1.823062","0","0","0","40","2.022091","1","35.876563","1","166.431463","1","115.676032"
10,16419,True,"3545412574037053608","SET DateStyle=ISO","0","0","0","0","0","0","2","0.02637","0.00682","0.01955","0.013185","0.006365000000000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
10,16419,True,"8237426578645213958","SELECT
   s_suppkey,
   s_name,
   s_address,
   s_phone,
   total_revenue
FROM
   supplier,
   revenue0
WHERE
   s_suppkey = supplier_no
   AND total_revenue = (
      SELECT
         MAX(total_revenue)
      FROM
         revenue0
   )
ORDER BY
   s_suppkey","0","0","0","0","0","0","1","2185.46234","2185.46234","2185.46234","2185.46234","0","1","1","268122","0","16","0","0","0","0","102","240","355.396478","0.10503","0.153572","1.690358","0","0","0","40","1.946523","1","35.436508","1","173.040908","1","120.437402"
